model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_2,0.7,Non-CV,RMSLE_Score,-34.855718304623174
LinearRegression(),dataset_2,0.7,10 Fold-CV,Mean_Score,1.0
LinearRegression(),dataset_2,0.7,10 Fold-CV,Min_Score,1.0
LinearRegression(),dataset_2,0.7,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_2,0.7,10 Fold-CV,cv_scores,[1. 1. 1. 1. 1.]
LinearRegression(),dataset_3,0.7,Non-CV,R2_Score,0.9998768661354213
LinearRegression(),dataset_3,0.7,Non-CV,MSE_Score,2.3336581937128553e-05
LinearRegression(),dataset_3,0.7,Non-CV,MAE_Score,2.4462936756647706e-05
LinearRegression(),dataset_3,0.7,Non-CV,RMSE_Score,0.004830795166132441
LinearRegression(),dataset_3,0.7,Non-CV,RMSLE_Score,-5.332744194198555
LinearRegression(),dataset_3,0.7,10 Fold-CV,Mean_Score,0.9998948310396691
LinearRegression(),dataset_3,0.7,10 Fold-CV,Min_Score,0.9994741551983456
LinearRegression(),dataset_3,0.7,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_3,0.7,10 Fold-CV,cv_scores,[1.         0.99947416 1.         1.         1.        ]
LinearRegression(),dataset_4,0.7,Non-CV,R2_Score,-1.2069782877854165e+19
LinearRegression(),dataset_4,0.7,Non-CV,MSE_Score,1.2014524922968965e+19
LinearRegression(),dataset_4,0.7,Non-CV,MAE_Score,121315327.71938744
LinearRegression(),dataset_4,0.7,Non-CV,RMSE_Score,3466197473.1640673
LinearRegression(),dataset_4,0.7,Non-CV,RMSLE_Score,21.96632400098617
LinearRegression(),dataset_4,0.7,10 Fold-CV,Mean_Score,-1.0082291311465464e+20
LinearRegression(),dataset_4,0.7,10 Fold-CV,Min_Score,-3.313074309544858e+20
LinearRegression(),dataset_4,0.7,10 Fold-CV,Max_Score,-1.0000014920061791e+18
LinearRegression(),dataset_4,0.7,10 Fold-CV,cv_scores,"[-1.00000149e+18 -1.62878034e+20 -2.08628348e+18 -6.84281547e+18
 -3.31307431e+20]"
